Angle,Cp,p
7.611146e+01,1.326731e-01,2.449075e-01
1.083885e+02,-2.533902e-01,5.187590e-02
1.091250e+02,-2.573329e-01,4.990456e-02
1.098615e+02,-2.608280e-01,4.815701e-02
1.102500e+02,-2.624438e-01,4.734910e-02
-1.241385e+02,-2.711201e-01,4.301094e-02
-1.248750e+02,-2.705087e-01,4.331665e-02
-1.256115e+02,-2.698801e-01,4.363093e-02
-8.736146e+01,-4.724341e-02,1.549493e-01
-8.662500e+01,-3.710916e-02,1.600164e-01
-8.588854e+01,-2.737817e-02,1.648819e-01
-8.550000e+01,-2.266982e-02,1.672361e-01
-5.400000e+01,6.406735e-01,4.989077e-01
-5.361146e+01,6.514554e-01,5.042987e-01
-5.287500e+01,6.704731e-01,5.138075e-01
-5.213854e+01,6.899701e-01,5.235561e-01
-5.175000e+01,7.012509e-01,5.291964e-01
0.000000e+00,1.674119e+00,1.015630e+00
3.885417e-01,1.676372e+00,1.016757e+00
1.125000e+00,1.680001e+00,1.018571e+00
1.861458e+00,1.682594e+00,1.019868e+00
1.263885e+02,-2.522707e-01,5.243566e-02
1.271250e+02,-2.521178e-01,5.251212e-02
1.278615e+02,-2.520019e-01,5.257006e-02
1.282500e+02,-2.519529e-01,5.259455e-02
1.462500e+02,-2.531388e-01,5.200160e-02
1.458615e+02,-2.530253e-01,5.205836e-02
1.451250e+02,-2.527478e-01,5.219709e-02
1.443885e+02,-2.524065e-01,5.236774e-02
1.440000e+02,-2.522128e-01,5.246462e-02
1.125000e+02,-2.689277e-01,4.410716e-02
1.121115e+02,-2.680987e-01,4.452164e-02
1.113750e+02,-2.661553e-01,4.549334e-02
1.106385e+02,-2.637338e-01,4.670409e-02
1.376385e+02,-2.514357e-01,5.285314e-02
1.383750e+02,-2.513892e-01,5.287638e-02
1.391115e+02,-2.513304e-01,5.290579e-02
1.395000e+02,-2.512989e-01,5.292156e-02
-3.885417e-01,1.671594e+00,1.014368e+00
-1.125000e+00,1.666543e+00,1.011842e+00
-1.861458e+00,1.661037e+00,1.009090e+00
-2.250000e+00,1.657955e+00,1.007549e+00
-1.305000e+02,-2.675021e-01,4.481995e-02
-1.308885e+02,-2.674417e-01,4.485014e-02
-1.316250e+02,-2.673510e-01,4.489548e-02
-1.323615e+02,-2.672994e-01,4.492130e-02
-1.327500e+02,-2.672721e-01,4.493494e-02
-8.363854e+01,5.248727e-03,1.811954e-01
-8.437500e+01,-5.522935e-03,1.758095e-01
-8.511146e+01,-1.676321e-02,1.701894e-01
1.128885e+02,-2.696366e-01,4.375268e-02
1.136250e+02,-2.709614e-01,4.309031e-02
1.143615e+02,-2.717198e-01,4.271112e-02
1.147500e+02,-2.717294e-01,4.270629e-02
2.738854e+01,1.323377e+00,8.402596e-01
2.812500e+01,1.306914e+00,8.320282e-01
2.886146e+01,1.290318e+00,8.237299e-01
2.925000e+01,1.281550e+00,8.193462e-01
-1.755000e+02,-2.712812e-01,4.293039e-02
